[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 26/03/2016 06:27:45
Order : 59
Analyse step ID : 13155

[SAMPLE]
Sample Name : T29-2

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
39	12210.3737610485	394884.754116239	538250.792574292	302730.211687872	238642.200168368	124114.021422034	182504.165879975	113350.714176782	127217.868173239	86700.0230371498	256085.625911182	134292.249770139	165763.689294776	77860.7735798531	14221.4612554331	90420.6865577529	123220.565253188	108804.495373723
40	12198.3141326425	394640.847535562	538005.799041031	302730.211687872	238520.443943792	123992.161803554	183644.816916725	115201.009724025	127781.491639829	87706.7580933173	256499.668960352	135123.780728468	165867.03324072	78104.2152898475	14282.1502792828	90704.1369858336	123670.275345353	109318.633568046
41	12168.1650616276	394640.847535562	537760.80550777	302608.535557772	238642.200168368	123748.442566593	184889.16350227	116970.85763878	128264.597468335	88713.4931494849	256913.712009521	135955.311686797	166177.065078553	78347.6569998418	14352.9541404407	90947.0944956171	124119.985437518	109832.77176237
42	12150.0756190186	394396.940954885	537760.80550777	302486.859427672	238398.687719217	123626.582948113	186133.510087815	118780.929369779	128747.703296841	89679.9588034058	257120.733534106	136890.784014917	166693.784808275	78591.0987098361	14413.6431642903	91230.5449236978	124569.695529682	110346.909956693
43	12131.9861764097	394153.034374208	537515.811974509	302243.507167473	238155.175270065	123504.723329633	187274.161124565	120510.553468289	129311.326763431	90606.1550550799	257534.776583275	137826.256343037	167210.504537997	78793.9668014981	14484.4470254483	91554.4882700758	125019.405621847	110796.780876726
44	12113.8967338007	393909.127793531	537270.818441248	302121.831037374	238155.175270065	123321.933901913	188414.812161315	122240.177566799	129874.950230022	91532.3513067541	257948.819632444	138657.787301366	167830.568213663	79077.9821298248	14565.3657239144	91837.9386981565	125469.115714012	111310.91907105
45	12101.8371053948	393909.127793531	537025.824907987	302000.154907274	238033.419045489	123200.074283433	189555.463198065	123929.577849065	130358.056058528	92458.5475584282	258362.862681613	139697.200999278	168553.975835274	79321.4238398191	14626.0547477641	92080.89620794	125918.825806177	111760.789991083
46	12077.7178485828	393665.221212854	537025.824907987	302000.154907274	238033.419045489	123139.144474193	190799.80978361	125618.97813133	130841.161887034	93384.7438101024	258776.905730783	140632.673327398	169277.383456885	79564.8655498134	14696.858608922	92404.839554318	126368.535898342	112274.928185407
47	12065.6582201768	393421.314632177	536780.831374726	301756.802647075	237911.662820914	123017.284855713	191940.46082036	127268.154597352	131404.785353624	94270.6706595298	259397.970304536	141672.087025309	170207.478970384	79848.8808781402	14767.6624700799	92647.7970641015	126754.001691626	112724.79910544
48	12053.5985917709	393421.314632177	536535.837841465	301635.126516975	237789.906596338	122773.565618752	192977.416308315	128877.107247128	131968.408820214	95156.5975089572	259812.013353706	142607.559353429	171034.230537939	80092.3225881345	14838.4663312378	92890.754573885	127139.467484911	113174.670025473
49	12035.5091491619	393177.4080515	536290.844308204	301635.126516975	237668.150371762	122651.706000272	194221.76289386	130445.836080661	132451.51464872	96002.254956138	260226.056402875	143543.031681549	171964.326051438	80376.3379164612	14899.1553550875	93214.6979202629	127589.177577075	113624.540945506
50	12023.4495207559	392933.501470823	536045.850774943	301513.450386875	237546.394147187	122529.846381792	195258.718381814	132018.133257602	132934.620477226	96847.9124033187	260640.099452044	144478.50400967	172997.765510882	80660.3532447879	14969.9592162454	93457.6554300464	127974.64337036	114074.411865539
51	12005.360078147	392933.501470823	536045.850774943	301391.774256776	237546.394147187	122468.916572552	196399.369418564	133546.679590262	133498.243943816	97693.5698504995	261054.142501213	145621.859077372	174031.204970326	80903.7949547822	15030.648240095	93741.1058581272	128360.109163644	114524.282785572
52	11999.330263944	392689.594890145	535800.857241683	301148.421996577	237546.394147187	122286.127144832	197540.020455314	134994.776115939	134061.867410407	98498.9578954335	261675.207074967	146661.272775283	174961.300483825	81147.2366647766	15131.7966131778	93984.0633679107	128809.819255809	114909.886431315
53	11975.211007132	392445.688309468	535555.863708422	301026.745866477	237424.637922611	122225.197335592	198680.671492064	136523.322448599	134625.490876997	99304.3459403676	262089.250124137	147596.745103403	175994.739943269	81390.6783747709	15192.4856370274	94267.5137959914	129259.529347974	115359.757351348
54	11969.181192929	392445.688309468	535555.863708422	301026.745866477	237302.881698035	122042.407907871	199821.322528814	137971.418974277	135108.596705503	100109.733985302	262503.293173306	148636.158801315	177028.179402713	81674.6937030976	15243.0598235688	94510.4713057749	129580.750842377	115745.360997091
55	11963.1513787261	392201.781728791	535310.870175161	300783.393606278	237181.12547346	121981.478098631	200754.582467973	139339.065692972	135591.702534009	100874.852627989	263124.35774706	149571.631129435	178164.962808101	81918.135413092	15313.8636847267	94793.9217338556	129966.216635662	116195.231917124
56	11951.0917503201	391957.875148114	535065.8766419	300783.393606278	237059.369248884	121859.618480151	201998.929053518	140787.16221865	136155.326000599	101639.971270676	263538.400796229	150611.044827346	179301.746213489	82161.5771230863	15384.6675458846	95077.3721619363	130351.682428946	116580.835562866
57	11933.0023077111	391713.968567437	535065.8766419	300661.717476178	237059.369248884	121737.758861671	203035.884541472	142154.808937345	136638.431829105	102364.820511117	263952.443845398	151650.458525257	180438.529618877	82405.0188330806	15455.4714070426	95320.3296717198	130737.14822223	116966.439208609
58	11926.9724935081	391713.968567437	534575.889575378	300540.041346078	236937.613024308	121615.899243191	204176.535578222	143442.005849058	137121.537657611	103129.939153804	264573.508419152	152585.930853378	181575.313024265	82607.8869247426	15526.2752682005	95603.7800998005	131058.369716633	117352.042854352
59	11914.9128651022	391470.06198676	534575.889575378	300418.365215979	236815.856799732	121494.039624711	205213.491066176	144729.202760772	137685.161124202	103814.518991998	264987.551468321	153521.403181498	182712.096429653	82851.3286347369	15586.9642920501	95846.737609584	131443.835509918	117737.646500094
60	11896.8234224932	391470.06198676	534330.896042117	300296.689085879	236694.100575157	121311.25019699	206250.446554131	146016.399672485	138168.266952708	104499.098830192	265401.594517491	154560.816879409	183848.879835041	83094.7703447312	15637.5384785915	96089.6951193675	131829.301303202	118123.250145837
61	11902.8532366962	391226.155406083	534330.896042117	300296.689085879	236694.100575157	121250.32038775	207287.402042085	147303.596584198	138651.372781213	105183.678668386	265815.63756666	155496.289207529	184985.66324043	83338.2120547255	15708.3423397494	96332.652629151	132150.522797605	118444.586517289
62	11890.7936082902	390982.248825406	534085.902508856	300053.33682568	236572.344350581	121189.39057851	208428.053078835	148510.34368893	139134.478609719	105868.25850658	266436.702140414	156431.761535649	186122.446645818	83541.0801463875	15789.2610382156	96575.6101389345	132471.744292009	118830.190163032
63	11890.7936082902	390982.248825406	534085.902508856	300053.33682568	236450.588126005	121128.46076927	209361.313017994	149717.090793661	139617.584438225	106512.568942527	266850.745189583	157471.175233561	187362.57399715	83784.5218563818	15839.835224757	96859.0605670152	132792.965786412	119151.526534484
64	11878.7339798842	390982.248825406	533840.908975595	299931.66069558	236450.588126005	121006.60115079	210398.268505949	150923.837898392	140181.207904816	107156.879378475	267264.788238752	158406.647561681	188499.357402538	83987.3899480438	15900.5242486066	97102.0180767987	133114.187280816	119472.862905936
65	11866.6743514783	390738.342244729	533595.915442334	299809.984565481	236328.83190143	120945.67134155	211435.223993903	152050.135196141	140583.796095237	107841.459216668	267678.831287921	159342.119889801	189842.828699815	84230.8316580381	15961.2132724562	97344.9755865822	133499.6530741	119794.199277388
66	11860.6445372753	390494.435664051	533595.915442334	299688.308435381	236207.075676854	120762.88191383	212472.179481857	153256.882300873	141147.419561828	108445.500250369	268299.895861675	160277.592217921	190876.268159259	84474.2733680324	16032.0171336142	97587.9330963656	133820.874568504	120179.802923131
67	11854.6147230723	390250.529083374	533350.921909073	299566.632305281	236328.83190143	120701.95210459	213405.439421016	154383.179598622	141630.525390334	109089.810686316	268713.938910845	161213.064546041	192116.395510591	84636.567841362	16092.7061574638	97830.8906061491	134142.096062907	120501.139294583
68	11848.5849088693	390250.529083374	533105.928375812	299444.956175182	236207.075676854	120580.09248611	214442.394908971	155429.027089389	142033.113580755	109653.58231777	269127.981960014	162148.536874161	193253.178915979	84880.0095513563	16143.2803440052	98033.3551976354	134463.317557311	120822.475666036
69	11848.5849088693	390006.622502697	533105.928375812	299323.280045082	236085.319452278	120519.162676869	215479.350396925	156555.324387138	142516.219409261	110257.623351471	269542.025009183	163084.009202282	194493.306267312	85082.8776430182	16203.9693678548	98316.8056257161	134784.539051714	121143.812037488
70	11836.5252804633	390006.622502697	532860.934842551	299323.280045082	236085.319452278	120458.232867629	216516.305884879	157601.171877905	143079.842875852	110821.394982924	269956.068058352	164019.481530402	195526.745726756	85285.7457346802	16264.6583917045	98559.7631354996	135105.760546118	121400.88113465
71	11836.5252804633	389762.71592202	532615.94130929	299079.927784883	235963.563227703	120336.373249149	217345.870275243	158647.019368673	143482.431066273	111425.436016625	270577.132632106	165058.895228313	196766.873078088	85488.6138263421	16315.2325782458	98802.7206452831	135362.737741641	121722.217506102
72	11824.4656520574	389762.71592202	532615.94130929	299079.927784883	235963.563227703	120275.443439909	218382.825763197	159692.86685944	143965.536894779	111989.207648079	270991.175681276	165994.367556433	198007.000429421	85691.4819180041	16386.0364394038	99005.1852367693	135683.959236044	122043.553877554
73	11830.4954662603	389518.809341343	532370.947776029	298958.251654783	235720.050778551	120214.513630669	219419.781251152	160738.714350207	144448.642723285	112552.979279533	271405.218730445	166825.898514762	199143.783834809	85894.350009666	16456.8403005617	99248.1427465528	135940.936431567	122300.622974716
74	11824.4656520574	389274.902760666	532370.947776029	298958.251654783	235720.050778551	120092.654012189	220353.041190311	161704.112033992	144931.748551791	113116.750910986	272026.283304199	167761.370842882	200383.911186141	86056.6444829956	16487.1848124865	99491.1002563363	136262.15792597	122621.959346168
75	11818.4358378544	389274.902760666	532125.954242768	298836.575524684	235598.294553975	119970.794393709	221286.30112947	162669.509717777	145334.336742213	113599.983737947	272440.326353368	168696.843171003	201520.694591529	86300.0861929899	16547.8738363361	99693.5648478225	136519.135121493	122879.02844333
76	11818.4358378544	389030.996179989	531880.960709507	298714.899394584	235598.294553975	119909.864584469	222115.865519833	163634.907401562	145817.442570719	114123.485967154	272854.369402537	169632.315499123	202657.477996918	86462.3806663195	16598.4480228775	99936.522357606	136840.356615897	123136.097540492
77	11806.3762094484	389274.902760666	531880.960709507	298471.547134385	235476.5383294	119788.004965989	223152.821007788	164519.855278365	146220.03076114	114646.988196361	273268.412451706	170463.846457452	203897.60534825	86665.2487579814	16669.2518840354	100179.479867389	137097.333811419	123457.433911944
78	11800.3463952454	388787.089599312	531635.967176247	298471.547134385	235476.5383294	119727.075156748	224086.080946947	165485.25296215	146703.136589646	115130.221023322	273682.455500876	171295.377415781	205034.388753638	86827.5432313109	16729.9409078851	100381.944458876	137354.311006942	123714.503009106
79	11794.3165810424	388543.183018635	531390.973642986	298349.871004285	235354.782104824	119666.145347508	225019.340886106	166370.200838953	147105.724780068	115653.723252529	274303.52007463	172230.849743901	206171.172159026	87030.4113229729	16780.5150944264	100624.901968659	137611.288202465	123971.572106267
80	11794.3165810424	388543.183018635	531390.973642986	298349.871004285	235354.782104824	119605.215538268	225952.600825265	167255.148715756	147588.830608574	116136.956079489	274717.563123799	173062.38070223	207307.955564414	87192.7057963024	16831.0892809678	100827.366560145	137868.265397988	124164.373929139
81	11800.3463952454	388543.183018635	531390.973642986	298228.194874186	235233.025880248	119544.285729028	226885.860764424	168140.096592559	147991.418798996	116620.18890645	275131.606172968	173997.85303035	208444.738969803	87355.000269632	16881.6634675092	101070.324069929	138125.242593511	124421.443026301
82	11800.3463952454	388299.276437957	530900.986576464	298106.518744086	235233.025880248	119483.355919788	227715.425154787	168944.594662379	148474.524627502	117063.152331163	275752.670746722	174829.383988679	209684.866321135	87557.8683612939	16932.2376540505	101313.281579712	138446.464087914	124742.779397753
83	11794.3165810424	388299.276437957	531145.980109725	297863.166483887	235111.269655673	119422.426110548	228648.685093946	169829.542539182	148877.112817923	117506.115755877	276166.713795891	175660.914947008	210821.649726523	87720.1628346235	16972.6970032836	101515.746171199	138639.196984556	124935.581220624
