[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 26/03/2016 03:11:58
Order : 37
Analyse step ID : 13133

[SAMPLE]
Sample Name : T23-1-1

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
43	12180.2246900336	388787.089599312	528696.044777115	298471.547134385	235233.025880248	122651.706000272	182193.079233589	117131.752903757	128425.632744504	88834.301356225	253933.507587488	133203.865969995	161526.587511057	77576.7582515264	14110.1980450421	90704.1369858336	126561.268794984	112017.859088245
44	12150.0756190186	388787.089599312	528451.051243854	298349.871004285	235111.269655673	122590.776191032	183437.425819134	118941.824634756	128908.73857301	89800.7670101459	254347.585871365	134191.331226893	162353.339078612	77820.1999615207	14181.0019062	91028.0803322116	127010.978887149	112531.997282568
45	12131.9861764097	388543.183018635	528206.057710593	298349.871004285	234989.513431097	122347.056954072	184681.772404679	120711.672549511	129472.3620396	90767.2326640667	254761.664155242	135178.796483791	163180.090646167	78104.2152898475	14251.805767358	91311.5307602923	127460.688979314	113046.135476892
46	12107.8669195977	388543.183018635	527961.064177332	298106.518744086	234989.513431097	122286.127144832	185822.423441429	122481.520464265	130035.98550619	91733.6983179876	255279.262010088	136218.233596316	163903.498267777	78388.2306181742	14312.4947912076	91635.4741066703	127910.399071479	113496.006396925
47	12101.8371053948	388299.276437957	527961.064177332	297984.842613986	234746.000981946	122164.267526351	187170.46557577	124211.144562776	130599.608972781	92700.1639719084	255693.340293965	137257.67070884	164936.937727221	78672.2459465009	14403.5283269821	91918.924534751	128360.109163644	114010.144591248
48	12083.7476627858	388055.36985728	527716.070644071	297863.166483887	234746.000981946	122042.407907871	188311.11661252	125900.544845041	131163.232439371	93586.0908213359	256210.938148811	138297.107821364	165867.03324072	78956.2612748276	14504.6767000648	92202.3749628318	128874.06355469	114460.015511282
49	12071.6880343798	387811.463276603	527471.077110811	297863.166483887	234624.24475737	121859.618480151	189555.463198065	127589.945127307	131726.855905961	94512.28707301	256728.536003657	139388.516789515	166900.472700164	79240.2766031543	14585.595398531	92526.3183092097	129259.529347974	114909.886431315
50	12041.5389633649	387567.556695926	527226.08357755	297741.490353787	234624.24475737	121737.758861671	190799.80978361	129198.897777084	132290.479372552	95438.4833246842	257142.614287534	140324.010190787	167933.912159608	79524.291931481	14636.1695850724	92809.7687372905	129709.239440139	115424.024625638
51	12023.4495207559	387323.650115249	527226.08357755	297619.814223687	234502.488532794	121554.969433951	192044.156369156	130807.850426861	132773.585201058	96324.4101741116	257660.21214238	141467.391014564	169070.695564996	79767.7336414754	14706.9734462303	93093.2191653712	130158.949532304	115873.895545671
52	12029.4793349589	387323.650115249	526981.090044289	297376.461963488	234380.732308219	121433.109815471	193081.11185711	132420.382292513	133417.726305732	97210.3370235391	258177.809997226	142558.799982714	170104.13502444	80051.7489698021	14787.8921446965	93376.669593452	130544.415325588	116323.766465705
