[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 26/03/2016 00:58:28
Order : 22
Analyse step ID : 13118

[SAMPLE]
Sample Name : T18-1

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
52	12011.3898923499	377811.293468842	514976.406914503	290075.89415751	228779.945977736	118325.689544227	205006.099968586	136362.422834635	136477.396552937	99223.8071358742	268713.938910845	152481.989483586	180851.905402655	81958.7090314244	15809.4907128321	96656.595975529	129580.750842377	115424.024625638
53	11999.330263944	377567.386888165	514976.406914503	289954.218027411	228658.189753161	118203.829925747	206146.751005335	137890.969167294	137041.020019527	100029.195180808	268920.960435429	153521.403181498	181988.688808043	82202.1507414187	15880.2945739901	96940.0464036097	130030.460934542	115938.162819962
54	11993.300449741	377567.386888165	514976.406914503	289832.541897311	228536.433528585	118081.970307266	207287.402042085	139339.065692972	137524.125848033	100834.583225742	269542.025009183	154456.875509618	183022.128267486	82445.592451413	15951.098435148	97183.0039133932	130415.926727826	116388.033739995
55	11975.211007132	377323.480307488	514731.413381242	289832.541897311	228536.433528585	117960.110688786	208324.35753004	140706.712411667	138087.749314623	101639.971270676	269956.068058352	155496.289207529	184158.911672875	82729.6077797397	16011.7874589976	97466.4543414739	130801.392521111	116773.637385738
56	11969.181192929	377323.480307488	514731.413381242	289710.865767212	228414.677304009	117960.110688786	209361.313017994	142235.258744327	138570.855143129	102445.35931561	270370.111107522	156535.70290544	185399.039024207	82973.0494897341	16102.8209947721	97709.4118512574	131186.858314395	117159.24103148
57	11951.0917503201	377079.57372681	514486.419847981	289589.189637112	228536.433528585	117838.251070306	210501.964054744	143602.905463023	139053.960971635	103210.477958298	270784.154156691	157471.175233561	186535.822429595	83175.917581396	16143.2803440052	97952.3693610409	131572.324107679	117609.111951513
58	11957.1215645231	376835.667146133	514241.42631472	289467.513507012	228292.921079434	117777.321261066	211642.615091494	144970.552181718	139537.066800141	103935.327198738	271405.218730445	158510.588931472	187775.949780928	83419.3592913903	16203.9693678548	98235.8197891216	131957.789900963	118058.982871546
59	11933.0023077111	376591.760565456	514241.42631472	289345.837376913	228414.677304009	117655.461642586	212679.570579448	146257.749093431	140100.690266731	104700.445841426	271819.261779614	159446.061259592	188912.733186316	83662.8010013847	16274.7732290127	98438.2843806078	132343.255694247	118444.586517289
60	11939.0321219141	376835.667146133	513996.432781459	289224.161246813	228292.921079434	117533.602024106	213820.221616198	147625.395812127	140583.796095237	105425.295081866	272233.304828783	160485.474957503	190256.204483593	83906.242711379	16335.4622528624	98681.2418903913	132728.721487532	118830.190163032
61	11926.9724935081	376591.760565456	513996.432781459	289224.161246813	228171.164854858	117472.672214866	214753.481555357	148912.59272384	141066.901923743	106150.144322307	272854.369402537	161420.947285624	191392.987888981	84149.6844213733	16386.0364394038	98964.692318472	133049.942981935	119215.793808775
62	11914.9128651022	376591.760565456	513751.439248198	289102.485116714	228049.408630282	117350.812596386	215894.132592107	150199.789635554	141550.007752249	106834.724160501	273268.412451706	162460.360983535	192633.115240313	84352.5525130352	16446.7254632534	99207.6498282555	133435.408775219	119601.397454517
63	11908.8830508992	376347.853984779	513751.439248198	289102.485116714	228049.408630282	117289.882787145	216931.088080061	151406.536740285	142113.63121884	107559.573400942	273682.455500876	163395.833311655	193873.242591646	84555.4206046972	16507.414487103	99450.607338039	133820.874568504	119987.00110026
64	11896.8234224932	376103.947404102	513751.439248198	288980.808986614	228049.408630282	117289.882787145	218071.739116811	152693.733651998	142596.737047346	108203.883836889	274096.498550045	164331.305639775	195216.713888923	84798.8623146915	16557.9886736444	99734.0577661197	134142.096062907	120308.337471712
65	11890.7936082902	376103.947404102	513506.445714937	288859.132856514	227805.896181131	117168.023168665	219004.99905597	153900.480756729	143079.842875852	108888.463675083	274717.563123799	165370.719337686	196456.841240255	85042.3040246859	16618.6776974941	99936.522357606	134527.561856191	120693.941117455
66	11890.7936082902	376103.947404102	513261.452181676	288737.456726415	227684.139956555	117046.163550185	220041.954543924	155026.778054479	143562.948704358	109532.77411103	275131.606172968	166306.191665807	197696.968591588	85245.1721163478	16679.3667213437	100179.479867389	134784.539051714	121015.277488907
67	11884.7637940872	375860.040823425	513016.458648415	288737.456726415	227805.896181131	116985.233740945	221078.910031879	156313.974966192	144046.054532863	110217.353949224	275545.649222137	167345.605363718	198833.751996976	85448.0402080097	16740.0557451933	100422.437377173	135105.760546118	121400.88113465
68	11884.7637940872	375616.134242748	513016.458648415	288615.780596315	227684.139956555	116924.303931705	222115.865519833	157440.272263941	144529.160361369	110861.664385171	275959.692271307	168281.077691838	200280.567240197	85691.4819180041	16790.6299317347	100705.887805254	135491.226339402	121722.217506102
69	11866.6743514783	375616.134242748	513016.458648415	288494.104466215	227805.896181131	116863.374122465	223152.821007788	158566.56956169	145012.266189875	111465.705418872	276373.735320476	169216.550019958	201417.350645585	85894.350009666	16861.4337928926	100908.35239674	135812.447833805	122107.821151845
70	11866.6743514783	375372.227662071	512771.465115154	288494.104466215	227562.383731979	116802.444313225	224189.776495742	159612.417052458	145495.372018381	112069.746452572	276994.79989423	170255.96371787	202657.477996918	86137.7917196603	16912.007979434	101151.309906523	136197.91362709	122429.157523297
71	11872.7041656813	375372.227662071	512526.471581893	288372.428336116	227562.383731979	116741.514503985	225123.036434901	160738.714350207	145978.477846887	112673.787486273	277408.842943399	171191.43604599	204000.949294194	86300.0861929899	16982.8118405919	101394.267416307	136519.135121493	122750.493894749
72	11860.6445372753	375128.321081394	512526.471581893	288372.428336116	227562.383731979	116558.725076265	226159.991922855	161784.561840974	146461.583675393	113277.828519973	277822.885992568	172126.90837411	205137.732699582	86502.9542846518	17023.271189825	101637.22492609	136840.356615897	123136.097540492
73	11848.5849088693	375128.321081394	512281.478048632	288250.752206016	227440.627507404	116497.795267024	227093.251862014	162830.409331741	146944.689503899	113841.600151427	278443.950566322	173062.38070223	206481.203996859	86705.8223763138	17073.8453763664	101880.182435874	137097.333811419	123393.166637653
74	11842.5550946663	374884.414500716	512281.478048632	288250.752206016	227440.627507404	116436.865457784	228026.511801173	163795.807015526	147347.277694321	114405.371782881	278857.993615491	173997.85303035	207721.331348192	86908.6904679757	17144.6492375243	102082.64702736	137482.799604704	123714.503009106
75	11848.5849088693	374884.414500716	512036.484515371	288129.076075916	227318.871282828	116375.935648544	229063.467289128	164841.654506293	147830.383522827	114928.874012088	279272.036664661	174829.383988679	209064.802645469	87111.5585596377	17205.3382613739	102325.604537144	137739.776800227	124035.839380558
76	11842.5550946663	374884.414500716	512036.484515371	288007.399945817	227197.115058252	116254.076030064	229996.727228287	165807.052190078	148313.489351333	115492.645643542	279686.07971383	175764.856316799	210304.929996801	87314.4266512996	17255.9124479153	102528.06912863	138060.99829463	124357.17575201
77	11836.5252804633	374884.414500716	512036.484515371	287885.723815717	227197.115058252	116315.005839304	230929.987167446	166772.449873863	148796.595179839	116016.147872749	280100.122762999	176700.32864492	211441.713402189	87517.2947429615	17296.3717971484	102771.026638413	138382.219789034	124678.512123462
78	11842.5550946663	374640.507920039	511791.49098211	287885.723815717	227075.358833677	116193.146220824	231863.247106605	167737.847557648	149199.18337026	116579.919504203	280514.165812168	177635.80097304	212681.840753522	87679.5892162911	17336.8311463815	103013.984148197	138639.196984556	124935.581220624
79	11836.5252804633	374396.601339362	511546.497448849	287764.047685618	227075.358833677	116071.286602344	232796.507045764	168703.245241433	149682.289198766	117063.152331163	280928.208861338	178571.27330116	213818.62415891	87841.8836896206	17387.4053329229	103216.448739683	138960.41847896	125192.650317786
80	11836.5252804633	374396.601339362	511546.497448849	287642.371555518	227075.358833677	116010.356793104	233729.766984923	169588.193118236	150084.877389188	117586.65456037	281549.273435091	179402.804259489	215162.095456187	88044.7517812826	17427.864682156	103499.899167764	139217.395674483	125513.986689238
81	11824.4656520574	374396.601339362	511546.497448849	287642.371555518	226953.602609101	115949.426983864	234663.026924082	170473.140995039	150567.983217694	118110.156789577	281963.316484261	180338.276587609	216298.878861575	88207.0462546121	17488.5537060056	103702.36375925	139474.372870005	125771.0557864
82	11830.4954662603	374152.694758685	511301.503915588	287520.695425418	226953.602609101	115888.497174624	235596.286863241	171438.538678824	150970.571408116	118593.389616538	282377.35953343	181169.807545938	217539.006212907	88409.9143462741	17539.127892547	103904.828350736	139795.594364409	126028.124883562
83	11830.4954662603	373908.788178008	511056.510382327	287399.019295319	226831.846384525	115827.567365384	236633.242351195	172323.486555627	151453.677236622	119076.622443498	282791.402582599	182001.338504267	218882.477510184	88572.2088196036	17579.5872417801	104147.78586052	140052.571559932	126285.193980723
