[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-1
Sequence ID : 528

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 17:43:07
Order : 17
Analyse step ID : 13074

[SAMPLE]
Sample Name : H6-1-2

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
60	14670.5379558672	339212.99538269	451523.081799918	264037.20231619	211612.318312563	110892.252816938	236114.764607218	152211.034810106	144931.748551791	108203.883836889	298110.995401862	178883.097410533	230043.623672177	87395.5738879644	20533.1197357961	103094.969984791	133178.431579697	119280.061083065
61	14682.5975842732	339091.064039993	451523.081799918	264037.20231619	211490.562087987	110831.323007697	237151.720095172	153498.231721819	145414.854380297	108888.463675083	298525.038451031	179818.569738653	231490.438915398	87639.0155979587	20603.923596954	103337.927494575	133435.408775219	119601.397454517
62	14664.5081416642	339091.064039993	451278.088266657	263793.850055991	211490.562087987	110770.393198457	238084.980034331	154704.97882655	145897.960208803	109532.77411103	298939.0815002	180857.983436565	232937.254158619	87801.3100712883	20674.7274581119	103540.392086061	133820.874568504	119922.733825969
63	14664.5081416642	338969.132697296	451278.088266657	263915.526186091	211368.805863412	110709.463389217	239121.935522286	155911.725931282	146381.066037309	110177.084546977	299353.124549369	181689.514394894	234280.725455896	88004.1781629502	20745.5313192698	103783.349595844	134142.096062907	120308.337471712
64	14658.4783274612	338969.132697296	451278.088266657	263793.850055991	211368.805863412	110587.603770737	240055.195461444	157118.473036013	146783.654227731	110821.394982924	299767.167598539	182624.986723014	235727.540699117	88207.0462546121	20796.1055058112	104026.307105628	134463.317557311	120693.941117455
65	14646.4186990552	338847.201354599	451033.094733396	263793.850055991	211368.805863412	110587.603770737	240988.455400603	158244.770333762	147266.760056237	111465.705418872	300388.232172292	183560.459051134	237174.355942338	88409.9143462741	20856.7945296608	104228.771697114	134784.539051714	121015.277488907
66	14652.4485132582	338847.201354599	451033.094733396	263672.173925891	211368.805863412	110526.673961497	241921.715339762	159290.617824529	147669.348246658	112029.477050325	300595.253696877	184391.990009463	238621.17118556	88612.782437936	20907.3687162022	104471.729206898	135105.760546118	121272.346586069
67	14646.4186990552	338725.270011902	451033.094733396	263550.497795792	211247.049638836	110465.744152257	242958.670827717	160336.465315296	148152.454075164	112633.518084026	301009.296746046	185327.462337583	240067.986428781	88775.0769112656	20957.9429027436	104714.686716681	135362.737741641	121657.950231811
68	14628.3292564463	338603.338669205	451033.094733396	263672.173925891	211247.049638836	110404.814343017	243788.23521808	161462.762613046	148635.55990367	113197.28971548	301423.339795216	186158.993295912	241514.801672002	88977.9450029275	21028.7467639015	104957.644226465	135683.959236044	121915.019328973
69	14628.3292564463	338481.407326508	451033.094733396	263428.821665692	211125.29341426	110404.814343017	244825.190706035	162508.610103813	149038.148094092	113801.33074918	301837.382844385	186990.524254241	242961.616915223	89180.8130945895	21099.5506250594	105160.108817951	136005.180730448	122300.622974716
70	14622.2994422433	338481.407326508	451033.094733396	263428.821665692	211125.29341426	110282.954724537	245654.755096398	163554.45759458	149521.253922598	114365.102380634	302251.425893554	187925.996582362	244408.432158445	89383.6811862514	21150.1248116008	105403.066327734	136326.402224851	122557.692071878
71	14628.3292564463	338481.407326508	450788.101200135	263428.821665692	211125.29341426	110282.954724537	246588.015035557	164519.855278365	149923.842113019	114928.874012088	302665.468942723	188757.527540691	245855.247401666	89586.5492779133	21210.8138354504	105605.530919221	136583.379420374	122879.02844333
72	14628.3292564463	338237.544641115	450788.101200135	263307.145535593	211125.29341426	110161.095106057	247521.274974716	165565.702769132	150326.430303441	115452.376241295	303079.511991893	189692.999868811	247302.062644887	89748.8437512429	21261.3880219918	105848.488429004	136904.600914777	123200.364814782
73	14622.2994422433	338237.544641115	450543.107666874	263307.145535593	210881.780965109	110100.165296817	248454.534913875	166531.100452917	150809.536131947	115975.878470502	303493.555041062	190524.53082714	248645.533942164	89951.7118429048	21332.1918831497	106050.95302049	137225.822409181	123457.433911944
74	14610.2398138373	338115.613298418	450788.101200135	263185.469405493	210881.780965109	110039.235487576	249284.099304239	167496.498136702	151212.124322369	116539.650101956	303907.598090231	191460.00315526	249989.005239441	90114.0063162344	21352.4215577662	106334.403448571	137482.799604704	123778.770283396
75	14616.2696280403	338115.613298418	450788.101200135	263185.469405493	211003.537189685	109978.305678336	250217.359243398	168461.895820487	151695.230150875	117022.882928917	304321.6411394	192291.534113589	251332.476536718	90276.300789564	21392.8809069993	106496.37512176	137739.776800227	124035.839380558
76	14610.2398138373	338115.613298418	450543.107666874	263185.469405493	210881.780965109	109978.305678336	251046.923633761	169427.293504272	152097.818341296	117546.385158124	304735.68418857	193123.065071918	252779.291779939	90438.5952628935	21463.6847681573	106739.332631543	138060.99829463	124292.90847772
77	14610.2398138373	337993.681955721	450543.107666874	263063.793275393	210881.780965109	109917.375869096	251876.488024125	170312.241381075	152580.924169802	118069.887387331	304942.705713154	193954.596030247	254122.763077216	90641.4633545554	21534.4886293152	106901.304304732	138317.975490153	124549.977574881
78	14604.2099996343	337993.681955721	450543.107666874	263063.793275393	210881.780965109	109856.446059856	252913.443512079	171197.189257878	152983.512360224	118553.120214291	305356.748762323	194890.068358367	255569.578320437	90803.757827885	21585.0628158565	107144.261814516	138574.952685676	124807.046672043
79	14598.1801854313	337871.750613024	450298.114133613	263063.793275393	210760.024740533	109795.516250616	253743.007902443	172162.586941663	153466.61818873	119036.353041252	305770.791811493	195617.657946905	256913.049617714	90925.4786828822	21635.6370023979	107346.726406002	138831.929881198	125064.115769205
80	14604.2099996343	337871.750613024	450053.120600353	262942.117145294	210760.024740533	109734.586441376	254572.572292806	173047.534818466	153869.206379152	119519.585868212	306184.834860662	196553.130275025	258256.520914991	91128.3467745441	21665.9815143227	107589.683915786	139024.662777841	125321.184866367
81	14592.1503712284	337627.88792763	450298.114133613	262942.117145294	210638.268515957	109673.656632136	255505.832231965	173852.032888287	154271.794569573	119962.549292926	306805.899434416	197384.661233354	259599.992212268	91290.6412478736	21726.6705381724	107792.148507272	139345.884272244	125578.253963529
82	14598.1801854313	337627.88792763	450298.114133613	262820.441015194	210638.268515957	109673.656632136	256335.396622329	174656.530958107	154674.382759995	120405.51271764	307012.920959	198216.192191683	260943.463509544	91493.5093395356	21767.1298874055	107994.613098758	139602.861467767	125835.32306069
83	14586.1205570254	337627.88792763	450053.120600353	262698.764885094	210638.268515957	109612.726822896	257164.961012692	175461.029027928	155076.970950416	120888.7455446	307426.96400817	198943.781780221	262390.278752766	91615.2301945328	21827.8189112551	108197.077690244	139859.83866329	126092.392157852
84	14592.1503712284	337505.956584933	449808.127067092	262820.441015194	210638.268515957	109551.797013656	258098.220951851	176265.527097749	155479.559140838	121291.439567067	307841.007057339	199775.31273855	263527.062158154	91818.0982861947	21858.1634231799	108440.035200028	140116.815858813	126349.461255014
