[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-1
Sequence ID : 528

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 20:05:32
Order : 33
Analyse step ID : 13090

[SAMPLE]
Sample Name : H8-3

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
56	15388.0858460226	338237.544641115	451278.088266657	263793.850055991	211977.58698629	110648.533579977	257372.352110283	156072.625545246	150084.877389188	110458.970362704	324609.750548694	195305.833837532	246165.279239499	90398.0216445611	22515.6278482178	106671.633533765	135683.959236044	121208.079311778
57	15376.0262176167	338115.613298418	451278.088266657	263672.173925891	211855.830761714	110587.603770737	258201.916500647	157279.372649977	150487.46557961	111143.550200898	325023.793597863	196241.306165652	247302.062644887	90600.889736223	22586.4317093757	106994.88090811	135940.936431567	121529.415683231
58	15376.0262176167	338237.544641115	451278.088266657	263672.173925891	211977.58698629	110526.673961497	259238.871988601	158486.119754708	150890.053770031	111787.860636845	325023.793597863	196968.89575419	248645.533942164	90803.757827885	22626.8910586088	107156.504595282	136262.15792597	121850.752054683
59	15357.9367750077	337993.681955721	451033.094733396	263550.497795792	211977.58698629	110465.744152257	260068.436378964	159692.86685944	151373.159598537	112472.440475039	325644.858171617	197904.36808231	249782.317347552	90966.0523012146	22707.809757075	107398.940126041	136583.379420374	122236.355700425
60	15357.9367750077	338115.613298418	451033.094733396	263550.497795792	211855.830761714	110404.814343017	261001.696318123	160899.613964171	151775.747788959	113076.48150874	325851.879696201	198735.899040639	251022.444698885	91128.3467745441	22768.4987809246	107560.563813213	136904.600914777	122557.692071878
61	15351.9069608047	337993.681955721	451033.094733396	263428.821665692	211734.074537139	110343.884533777	261934.956257282	162106.361068902	152258.853617465	113720.791944687	326265.922745371	199567.429998968	252159.228104273	91331.214866206	22829.1878047742	107802.999343972	137161.5781103	122814.761169039
62	15351.9069608047	337871.750613024	451033.094733396	263307.145535593	211612.318312563	110282.954724537	262868.216196441	163152.208559669	152661.441807887	114324.832978387	326679.96579454	200398.960957297	253502.69940155	91534.082957868	22889.8768286239	108045.43487473	137547.043903584	123200.364814782
63	15339.8473323987	337871.750613024	450788.101200135	263307.145535593	211734.074537139	110282.954724537	263697.780586805	164278.505857418	153064.029998308	114928.874012088	326886.987319125	201230.491915626	254742.826752882	91696.3774311975	22950.5658524735	108207.058561903	137804.021099107	123457.433911944
64	15321.7578897898	337749.819270327	450788.101200135	263307.145535593	211612.318312563	110222.024915297	264631.040525964	165404.803155168	153547.135826814	115532.915045789	327301.030368294	202062.022873955	256086.298050159	91899.2455228595	22991.0252017066	108449.494092661	138125.242593511	123843.037557687
65	15327.7877039928	337749.819270327	450543.107666874	263307.145535593	211612.318312563	110161.095106057	265667.996013918	166531.100452917	153949.724017236	116136.956079489	327715.073417463	202997.495202075	257326.425401491	92020.9663778566	23041.599388248	108611.117779834	138382.219789034	124164.373929139
66	15321.7578897898	337749.819270327	450543.107666874	263185.469405493	211612.318312563	110039.235487576	266393.864855486	167576.947943684	154352.312207658	116700.727710943	328129.116466632	203829.026160404	258669.896698768	92264.408087851	23122.5180867142	108853.553310592	138703.441283437	124357.17575201
67	15315.7280755868	337627.88792763	450543.107666874	263185.469405493	211490.562087987	109978.305678336	267327.124794645	168622.795434451	154835.418036164	117264.499342397	328336.137991217	204556.615748942	259910.024050101	92426.7025611805	23183.2071105638	109095.988841351	138896.174180079	124742.779397753
68	15309.6982613838	337505.956584933	450543.107666874	263185.469405493	211490.562087987	109978.305678336	268260.384733804	169668.642925218	155238.006226585	117828.270973851	328750.181040386	205492.088077062	261150.151401433	92588.9970345101	23223.6664597969	109338.424372109	139217.395674483	125064.115769205
69	15303.6684471808	337505.956584933	450298.114133613	263063.793275393	211490.562087987	109917.375869096	269089.949124168	170634.040609003	155721.112055091	118392.042605304	329164.224089555	206323.619035391	262390.278752766	92751.2915078396	23294.4703209548	109580.859902868	139474.372870005	125321.184866367
