[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 26/03/2016 03:20:51
Order : 38
Analyse step ID : 13134

[SAMPLE]
Sample Name : T23-1-2

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
42	12089.7774769888	391226.155406083	532370.947776029	300296.689085879	236450.588126005	123139.144474193	181467.210392021	116447.948027602	128264.597468335	88512.1461382514	253001.831448765	132995.97854749	161319.899619168	77455.0373965293	13998.9348346511	90663.6440675364	126625.513093865	111889.324539664
43	12077.7178485828	391226.155406083	532370.947776029	300053.33682568	236450.588126005	123017.284855713	182711.556977566	118258.019758601	128828.220934925	89518.8811944189	253415.909732642	133983.443804388	162043.307240779	77698.4791065236	14069.738695809	90947.0944956171	127139.467484911	112403.462733987
44	12041.5389633649	390982.248825406	532125.954242768	300053.33682568	236328.83190143	122834.495427992	183852.208014316	120027.867673356	129311.326763431	90485.3468483398	253933.507587488	134970.909061287	162663.370916445	77982.4944348503	14140.5425569669	91230.5449236978	127524.933278195	112981.868202601
45	12035.5091491619	390738.342244729	531880.960709507	299931.66069558	236207.075676854	122651.706000272	185096.554599861	121797.71558811	129874.950230022	91451.8125022606	254347.585871365	136010.346173811	163490.122484	78266.509763177	14221.4612554331	91554.4882700758	127974.64337036	113431.739122635
46	12023.4495207559	390738.342244729	531635.967176247	299809.984565481	236085.319452278	122468.916572552	186340.901185406	123527.33968662	130438.573696612	92378.0087539348	254761.664155242	136997.811430709	164420.217997499	78550.5250915037	14282.1502792828	91837.9386981565	128424.353462525	113945.877316958
47	11999.330263944	390494.435664051	531635.967176247	299566.632305281	236085.319452278	122347.056954072	187585.247770952	125216.739968886	131002.197163202	93304.205005609	255279.262010088	138037.248543233	165246.969565054	78834.5404198304	14363.068977749	92161.8820445345	128874.06355469	114395.748236991
48	11981.240821335	390250.529083374	531390.973642986	299566.632305281	235963.563227703	122286.127144832	188725.898807701	126906.140251152	131565.820629793	94230.4012572831	255693.340293965	139076.685655758	166280.409024498	79077.9821298248	14443.9876762152	92445.3324726153	129323.773646854	114845.619157024
49	11975.211007132	390006.622502697	531390.973642986	299444.956175182	235963.563227703	122103.337717111	189866.549844451	128515.092900929	132129.444096383	95076.0587044638	256107.418577842	140116.122768282	167313.848483942	79361.9974581515	14504.6767000648	92728.782900696	129709.239440139	115295.490077057
50	11963.1513787261	390006.622502697	530900.986576464	299323.280045082	235720.050778551	121981.478098631	191110.896429997	130124.045550706	132693.067562973	96002.254956138	256728.536003657	141155.559880806	168450.63188933	79646.0127864782	14595.7102358393	93012.2333287767	130094.705233423	115745.360997091
51	11939.0321219141	389762.71592202	530900.986576464	299079.927784883	235598.294553975	121859.618480151	192251.547466746	131692.774384238	133176.173391479	96847.9124033187	257142.614287534	142194.996993331	169484.071348773	79930.0281148049	14676.6289343055	93336.1766751547	130544.415325588	116259.499191414
52	11933.0023077111	389518.809341343	530655.993043203	298958.251654783	235598.294553975	121676.829052431	193392.198503496	133305.330169316	133739.796858069	97693.5698504995	257660.21214238	143234.434105855	170620.854754162	80214.0434431316	14747.4327954634	93579.1341849382	130994.125417753	116645.102837157
53	11926.9724935081	389518.809341343	530410.999509942	298958.251654783	235476.5383294	121494.039624711	194636.545089042	134833.876501975	134303.42032466	98539.2272976802	258177.809997226	144377.814929632	171654.294213605	80457.485153126	14798.0069820047	93862.5846130189	131315.346912156	117094.97375719
54	11914.9128651022	389274.902760666	530410.999509942	298836.575524684	235476.5383294	121494.039624711	195673.500576996	136281.973027653	134786.526153166	99344.6153426143	258695.407852072	145417.252042156	172791.077618993	80741.5004814527	14878.9256804709	94146.0350410996	131700.81270544	117480.577402933
55	11890.7936082902	389030.996179989	530166.005976681	298593.223264484	235354.782104824	121372.18000623	196814.151613746	137730.06955333	135350.149619756	100150.003387548	259109.486135949	146404.717299054	174031.204970326	80944.3685731146	14949.7295416289	94429.4854691804	132086.278498725	117866.181048675
56	11884.7637940872	389030.996179989	529921.01244342	298593.223264484	235233.025880248	121250.32038775	197954.802650496	139178.166079008	135913.773086346	100955.391432482	259730.603561764	147444.154411579	175271.332321658	81228.3839014414	15020.5334027868	94712.9358972611	132535.98859089	118316.051968708
57	11884.7637940872	388787.089599312	529676.018910159	298471.547134385	235233.025880248	121067.53096003	199095.453687246	140545.812797703	136396.878914852	101720.51007517	260144.681845641	148535.563379729	176511.459672991	81471.8256114357	15081.2224266364	94996.3863253418	132857.210085293	118701.655614451
58	11860.6445372753	388543.183018635	529676.018910159	298228.194874186	235111.269655673	121006.60115079	200132.4091752	141993.909323381	136960.502381443	102485.628717857	260662.279700487	149523.028636627	177751.587024323	81796.4145580948	15162.1411251026	95239.3438351253	133242.675878577	119022.991985903
59	11860.6445372753	388543.183018635	529431.025376898	298228.194874186	234989.513431097	120884.74153231	201273.06021195	143361.556042076	137443.608209949	103210.477958298	261179.877555333	150614.437604778	178888.370429712	81999.2826497567	15212.715311644	95522.794263206	133628.141671862	119472.862905936
60	11848.5849088693	388299.276437957	529186.031843637	298106.518744086	234867.757206521	120762.88191383	202413.7112487	144648.75295379	138007.231676539	103935.327198738	261697.475410179	151601.902861676	180128.497781044	82242.7243597511	15273.4043354936	95806.2446912868	133949.363166265	119794.199277388
61	11842.5550946663	388299.276437957	529186.031843637	297984.842613986	234867.757206521	120701.95210459	203450.666736654	145935.949865503	138490.337505045	104660.176439179	262215.073265025	152589.368118574	181368.625132376	82486.1660697454	15334.0933593433	96049.2022010702	134270.584660669	120179.802923131
62	11818.4358378544	388055.36985728	528941.038310376	297863.166483887	234746.000981946	120580.09248611	204591.317773404	147223.146777216	138973.443333551	105344.756277373	262629.151548902	153576.833375472	182608.752483709	82729.6077797397	15415.0120578095	96292.1597108537	134656.050453953	120501.139294583
63	11830.4954662603	387811.463276603	528941.038310376	297741.490353787	234746.000981946	120458.232867629	205628.273261358	148510.34368893	139537.066800141	106029.336115567	263146.749403748	154616.270487997	183848.879835041	82973.0494897341	15485.8159189674	96575.6101389345	134977.271948356	120886.742940326
64	11818.4358378544	387811.463276603	528696.044777115	297619.814223687	234624.24475737	120336.373249149	206665.228749313	149717.090793661	140020.172628647	106713.915953761	263664.347258594	155603.735744895	185089.007186374	83216.4911997284	15556.6197801253	96859.0605670152	135298.49344276	121208.079311778
65	11806.3762094484	387567.556695926	528451.051243854	297498.138093588	234624.24475737	120275.443439909	207702.184237267	150923.837898392	140503.278457153	107358.226389708	264181.94511344	156591.201001793	186432.478483651	83419.3592913903	15617.3088039749	97102.0180767987	135683.959236044	121593.682957521
66	11806.3762094484	387323.650115249	528206.057710593	297376.461963488	234502.488532794	120214.513630669	208739.139725221	152130.585003124	141066.901923743	108042.806227902	264699.542968286	157578.666258691	187672.605834983	83622.2273830523	15677.9978278246	97344.9755865822	135940.936431567	121915.019328973
67	11794.3165810424	387323.650115249	528206.057710593	297254.785833389	234380.732308219	120092.654012189	209879.790761971	153256.882300873	141550.007752249	108687.116663849	265113.621252163	158566.131515589	188912.733186316	83906.242711379	15748.8016889825	97628.4260146629	136326.402224851	122236.355700425
68	11788.2867668394	387323.650115249	527961.064177332	297133.109703289	234380.732308219	119970.794393709	210916.746249926	154383.179598622	142033.113580755	109291.15769755	265734.738677979	159553.596772487	190152.860537648	84109.1108030409	15809.4907128321	97830.8906061491	136583.379420374	122557.692071878
69	11788.2867668394	387079.743534572	527961.064177332	297011.433573189	234258.976083643	119970.794393709	211953.70173788	155509.476896371	142516.219409261	109935.468133497	266148.816961856	160541.062029385	191392.987888981	84311.9788947029	15849.9500620652	98073.8481159326	136904.600914777	122879.02844333
70	11776.2271384335	386835.836953895	527716.070644071	297011.433573189	234258.976083643	119727.075156748	212886.961677039	156635.77419412	142999.325237767	110579.778569444	266666.414816702	161580.49914191	192633.115240313	84514.8469863648	15940.9835978397	98357.2985440133	137161.5781103	123136.097540492
71	11776.2271384335	386835.836953895	527471.077110811	296889.75744309	234137.219859067	119727.075156748	213923.917164993	157762.07149187	143482.431066273	111143.550200898	267184.012671548	162412.048831929	193976.58653759	84758.2886963591	15991.5577843811	98600.2560537968	137482.799604704	123521.701186234
72	11776.2271384335	386591.930373218	527471.077110811	296889.75744309	234015.463634491	119605.215538268	214960.872652948	158807.918982637	143965.536894779	111747.591234599	267701.610526394	163451.485944454	195113.369942978	84961.1567880211	16042.1319709224	98802.7206452831	137804.021099107	123778.770283396
73	11764.1675100275	386591.930373218	527226.08357755	296768.08131299	234015.463634491	119483.355919788	215894.132592107	159853.766473404	144448.642723285	112311.362866052	268115.688810271	164438.951201352	196353.497294311	85164.024879683	16112.9358320804	99086.1710733638	138125.242593511	124035.839380558
74	11770.1973242305	386348.023792541	526981.090044289	296524.729052791	234015.463634491	119483.355919788	216931.088080061	160819.164157189	144931.748551791	112875.134497506	268633.286665117	165322.472746997	197593.624645643	85366.892971345	16163.5100186217	99329.1285831473	138382.219789034	124357.17575201
75	11764.1675100275	386348.023792541	526981.090044289	296524.729052791	233893.707409916	119361.496301308	217864.34801922	161865.011647956	145334.336742213	113398.636726713	269150.884519963	166257.966148269	198833.751996976	85569.7610630069	16214.0842051631	99531.5931746335	138703.441283437	124614.244849172
76	11752.1078816215	386104.117211864	526491.102977767	296403.052922691	233771.95118534	119239.636682828	218797.607958379	162830.409331741	145817.442570719	113962.408358167	269668.482374809	167193.459549541	200073.879348308	85772.6291546689	16284.888066321	99774.550684417	138960.41847896	124935.581220624
77	11746.0780674185	385860.210631186	526491.102977767	296403.052922691	233650.194960764	119178.706873588	219834.563446334	163795.807015526	146300.548399225	114485.910587374	270082.560658686	168128.952950813	201314.006699641	85975.4972463308	16345.5770901707	100017.5081942	139217.395674483	125192.650317786
78	11746.0780674185	385860.210631186	526491.102977767	296159.700662492	233528.438736189	119117.777064348	220664.127836697	164761.204699311	146783.654227731	115009.412816581	270496.638942563	169064.446352085	202450.790105029	86178.3653379927	16396.151276712	100260.465703984	139538.617168886	125449.719414948
79	11746.0780674185	385616.304050509	526246.109444506	296038.024532392	233528.438736189	119056.847255108	221701.083324652	165726.602383096	147186.242418152	115532.915045789	271117.756368378	169999.939753357	203690.917456361	86340.6598113223	16436.6106259451	100503.423213767	139795.594364409	125706.788512109
80	11734.0184390126	385372.397469832	526246.109444506	295916.348402293	233528.438736189	118934.987636627	222634.343263811	166611.550259899	147669.348246658	116056.417274996	271531.834652255	170879.611936616	204931.044807694	86543.5279029842	16517.5293244113	100746.380723551	139988.327261051	125963.857609271
81	11734.0184390126	385616.304050509	526001.115911245	295916.348402293	233284.926287037	118874.057827387	223567.603202969	167576.947943684	148071.93643708	116539.650101956	271945.912936132	171711.142894945	206067.828213082	86705.8223763138	16557.9886736444	100989.338233334	140309.548755455	126156.659432143
